"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
615455,"Чай Nature's Own Factory Полезный гречишный, 100г",https://online.metro-cc.ru/products/napitok-grechishnyj-nature-039s-own-factory-100g,,68900,NATURE'S OWN FACTORY
129648,"Чай Newby Assam черный (2г x 50шт), 100г",https://online.metro-cc.ru/products/chernyj-newby-assam-50-2g,,119900,NEWBY
194098,"Чай Newby Ceylon черный (2г x 50шт), 100г",https://online.metro-cc.ru/products/chernyj-newby-ceylon-50-2g,,119900,NEWBY
101998,"Чай Newby Earl Grey черный (2г x 50шт), 100г",https://online.metro-cc.ru/products/chernyj-newby-earl-grey-50-2g,,127900,NEWBY
102001,"Чай Newby English Breakfast черный (2г x 50шт), 100г",https://online.metro-cc.ru/products/chernyj-newby-english-breakfast-50-2g,,119900,NEWBY
144396,"Чай Newby English Breakfast черный листовой, 100г",https://online.metro-cc.ru/products/newby-chernyj-english-breakfast-100g,,83900,NEWBY
102000,"Чай Newby Green Sencha, зеленый (2г x 50шт), 100г",https://online.metro-cc.ru/products/zelenyj-newby-green-sencha-50-2g,,127900,NEWBY
101999,"Чай Newby Jasmine Blossom зеленый (2г x 50шт), 100г",https://online.metro-cc.ru/products/newby-zelenyj-jasmine-blossom-50-2g,,127900,NEWBY
101935,"Чай Newby Jasmine Blossom зеленый листовой, 100г",https://online.metro-cc.ru/products/zelenyj-newby-jasmine-blossom-100g,,83900,NEWBY
387035,"Чай Newby Pride of Africa черный листовой, 100г",https://online.metro-cc.ru/products/chernyj-newby-pride-of-africa-100g,,77900,NEWBY
102543,"Чай Newby Ассам черный листовой, 100г",https://online.metro-cc.ru/products/chernyj-newby-assam-100g,,83900,NEWBY
463671,"Чай Richard Lord Grey черный байховый (2г х 100шт), 200г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-lord-grey-100-pak,27900,36900,RICHARD
385866,"Чай Richard Lord Grey черный байховый в саше (2г х 25шт), 50г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-lord-grey-v-sashe-25-pak,8990,11300,RICHARD
617222,"Чай Richard Lord Grey черный листовой с добавками, 180г",https://online.metro-cc.ru/products/180g-richard-lord-grey,21900,31900,RICHARD
257056510,"Чай Richard Royal Blackcurrant & Golden Apple (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-smorodina-yabloko-paketirovannyy,8990,11300,RICHARD
385733,"Чай Richard Royal Ceylon черный байховый (2г х 100шт), 200г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-royl-ceylon-v-sashe-100-2g,27900,36900,RICHARD
386093,"Чай Richard Royal Ceylon черный байховый (2г х 25шт), 50г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-royl-ceylon-v-sashe-25-pak,8990,11300,RICHARD
